Team,last_24h,last_7d,season
"<a href=""ATL"">Atlanta Hawks</a>",0.637,0.459,0.438
"<a href=""BRK"">Brooklyn Nets</a>",0.576,0.386,0.353
"<a href=""TOR"">Toronto Raptors</a>",0.551,0.377,0.381
"<a href=""POR"">Portland Trailblazers</a>",0.425,0.247,0.251
"<a href=""LAC"">Los Angeles Clippers</a>",0.419,0.349,0.292
"<a href=""PHO"">Phoenix Suns</a>",0.415,0.369,0.376
"<a href=""OKC"">Oklahoma City Thunder</a>",0.409,0.351,0.354
"<a href=""HOU"">Houston Rockets</a>",0.400,0.309,0.310
"<a href=""GSW"">Golden State Warriors</a>",0.395,0.335,0.335
"<a href=""WAS"">Washington Wizards</a>",0.360,0.154,0.183
"<a href=""UTA"">Utah Jazz</a>",0.358,0.194,0.206
"<a href=""SAS"">San Antonio Spurs</a>",0.357,0.239,0.243
"<a href=""CLE"">Cleveland Cavaliers</a>",0.347,0.261,0.286
"<a href=""SAC"">Sacramento Kings</a>",0.329,0.049,0.059
"<a href=""DET"">Detroit Pistons</a>",0.313,0.432,0.429
"<a href=""MIN"">Minnesota Timberwolves</a>",0.310,0.311,0.308
"<a href=""ORL"">Orlando Magic</a>",0.309,0.116,0.140
"<a href=""CHO"">Charlotte Hornets</a>",0.211,0.386,0.378
"<a href=""BOS"">Boston Celtics</a>",0.210,0.247,0.258
"<a href=""DEN"">Denver Nuggets</a>",0.177,0.247,0.256
"<a href=""NYK"">New York Knicks</a>",0.175,0.354,0.344
"<a href=""PHI"">Philadelphia 76ers</a>",0.158,0.085,0.088
"<a href=""MIL"">Milwaukee Bucks</a>",0.154,0.128,0.149
"<a href=""IND"">Indiana Pacers</a>",0.145,0.317,0.315
"<a href=""MIA"">Miami Heat</a>",0.139,0.184,0.189
"<a href=""DAL"">Dallas Mavericks</a>",0.122,0.001,0.015
"<a href=""NOP"">New Orleans Pelicans</a>",0.109,0.069,0.063
"<a href=""LAL"">Los Angeles Lakers</a>",0.030,0.129,0.169
"<a href=""MEM"">Memphis Grizzlies</a>",0.026,-0.074,-0.055
"<a href=""CHI"">Chicago Bulls</a>",-0.154,0.069,0.116
