Team,last_24h,last_7d,season
"<a href=""VEG"">Vegas Golden Knights</a>",0.710,0.432,0.435
"<a href=""ARI"">Arizona Coyotes</a>",0.608,0.436,0.428
"<a href=""CAR"">Carolina Hurricanes</a>",0.591,0.465,0.470
"<a href=""PHI"">Philadelphia Flyers</a>",0.585,0.459,0.454
"<a href=""WPG"">Winnipeg Jets</a>",0.489,0.262,0.189
"<a href=""CGY"">Calgary Flames</a>",0.462,0.351,0.347
"<a href=""FLA"">Florida Panthers</a>",0.427,0.362,0.355
"<a href=""COL"">Colorado Avalanche</a>",0.425,0.381,0.424
"<a href=""MIN"">Minnesota Wild</a>",0.424,0.264,0.330
"<a href=""CBJ"">Columbus Blue Jackets</a>",0.408,0.273,0.299
"<a href=""PIT"">Pittsburgh Penguins</a>",0.390,0.138,0.132
"<a href=""BUF"">Buffalo Sabres</a>",0.352,0.412,0.413
"<a href=""NJD"">New Jersey Devils</a>",0.348,0.382,0.386
"<a href=""VAN"">Vancouver Canucks</a>",0.341,0.385,0.359
"<a href=""NSH"">Nashville Predators</a>",0.332,0.164,0.127
"<a href=""ANA"">Anaheim Ducks</a>",0.326,0.245,0.258
"<a href=""MTL"">Montreal Canadiens</a>",0.314,0.456,0.509
"<a href=""DAL"">Dallas Stars</a>",0.304,0.264,0.282
"<a href=""LAK"">Los Angeles Kings</a>",0.298,0.155,0.149
"<a href=""DET"">Detroit Red Wings</a>",0.281,0.200,0.206
"<a href=""OTT"">Ottawa Senators</a>",0.253,0.389,0.386
"<a href=""CHI"">Chicago Blackhawks</a>",0.239,0.287,0.285
"<a href=""NYI"">New York Islanders</a>",0.230,0.340,0.345
"<a href=""WSH"">Washington Capitals</a>",0.198,0.182,0.184
"<a href=""STL"">St. Louis Blues</a>",0.186,0.236,0.228
"<a href=""BOS"">Boston Bruins</a>",0.159,0.148,0.175
"<a href=""NYR"">New York Rangers</a>",0.138,0.095,0.104
"<a href=""EDM"">Edmonton Oilers</a>",0.087,0.106,0.103
"<a href=""SJS"">San Jose Sharks</a>",0.069,0.036,0.077
"<a href=""TOR"">Toronto Maple Leafs</a>",0.051,0.117,0.119
"<a href=""TBL"">Tampa Bay Lightning</a>",0.027,0.205,0.212
